domain,class,mcr,ns1,ns2,ns3,ns4,ns5,len,vcr,ncr
egkvilaomsuh,dga,2.25,2764.6666666666665,138.9090909090909,2.8,0.0,0.0,12.0,0.7142857142857143,0.0
bad-neighborhood,legit,22.875,2830.75,152.46666666666667,13.357142857142858,3.5384615384615383,2.3333333333333335,16.0,0.6,0.0
gadrjwxwtummwdm,dga,1.2,1873.3333333333333,54.714285714285715,1.0769230769230769,0.0,0.0,15.0,0.15384615384615385,0.0
urbanity,legit,20.625,3191.25,298.7142857142857,34.833333333333336,2.2,0.5,8.0,0.6,0.0
1550xkw138qvhw1kvhgze16gnak5,dga,0.0,893.8214285714286,15.851851851851851,0.3076923076923077,0.0,0.0,28.0,0.07692307692307693,0.39285714285714285
grandforks,legit,28.2,3047.1,302.55555555555554,49.125,3.142857142857143,0.16666666666666666,10.0,0.25,0.0
officedepot,legit,29.454545454545453,3297.4545454545455,317.3,29.77777777777778,7.0,2.142857142857143,11.0,0.8333333333333334,0.0
tonquxkyuoiory,dga,7.285714285714286,2510.214285714286,229.23076923076923,6.083333333333333,0.0,0.0,14.0,0.75,0.0
ptlwciyxpwnx,dga,0.25,2009.25,43.0,0.1,0.0,0.0,12.0,0.09090909090909091,0.0
opinionoutpost,legit,7.071428571428571,3567.0,413.2307692307692,70.91666666666667,2.3636363636363638,0.6,14.0,1.0,0.0
51logon,legit,0.42857142857142855,2278.714285714286,240.5,4.8,0.25,0.0,7.0,0.4,0.2857142857142857
scworks,legit,12.428571428571429,2839.285714285714,157.83333333333334,16.0,7.25,2.3333333333333335,7.0,0.16666666666666666,0.0
sportchek,legit,9.666666666666666,3146.6666666666665,235.875,40.857142857142854,11.666666666666666,1.2,9.0,0.2857142857142857,0.0
